工作岗位,网站,公司名称,工作地点,工资,日期
数据分析专家,https://jobs.51job.com/hangzhou-yhq/104401229.html?s=01&t=0,杭州橙鹰数据技术有限公司,杭州-余杭区,1.5-2.5万/月,07-15
数据分析师,https://jobs.51job.com/hangzhou/104398358.html?s=01&t=0,杭州数美科技有限公司,杭州,1-2万/月,07-15
数据分析师,https://jobs.51job.com/hangzhou/95663067.html?s=01&t=0,杭州乐讯品牌管理有限公司,杭州,4.5-6千/月,07-15
商品数据分析,https://jobs.51job.com/hangzhou-bjq/104253632.html?s=01&t=0,依革思儿（浙江）服饰有限公司,杭州-滨江区,4-7千/月,07-15
保险数据分析师,https://jobs.51job.com/shanghai-xhq/83101930.html?s=01&t=0,浙江联保网络技术有限公司,异地招聘,0.8-1万/月,07-14
财务数据分析专员,https://jobs.51job.com/hangzhou-xhq/102824932.html?s=01&t=0,浙江绿城物业园区生活服务有限公司,杭州-西湖区,6-8.5千/月,07-14
数据分析师,https://jobs.51job.com/hangzhou-jgq/100192903.html?s=01&t=0,杭州慧展投资管理有限公司,杭州-江干区,6-8千/月,07-14
大数据分析建模师,https://jobs.51job.com/hangzhou/96955478.html?s=01&t=0,上海昊硕企业管理咨询有限公司,杭州,2-2.5万/月,07-14
数据分析师,https://jobs.51job.com/hangzhou-bjq/98442982.html?s=01&t=0,微点（杭州）网络科技有限公司,杭州-滨江区,0.8-1.6万/月,07-14
数据分析师,https://jobs.51job.com/hangzhou-gsq/101402271.html?s=01&t=0,杭州基石信息咨询服务有限公司,杭州-拱墅区,1.5-3万/月,07-14
